,file,interval_idx,t_start_hours,t_end_hours,n_events,success,log_likelihood,mu,alpha,beta,ks_reject_khmaladze,ad_reject_khmaladze,cvm_reject_khmaladze,rejected_count_khmaladze,ks_reject_naive,ad_reject_naive,cvm_reject_naive,rejected_count_naive,ks_reject_exp,ad_reject_exp,cvm_reject_exp,rejected_count_exp
3_28,SG_20170123.csv.gz,28,7.0,7.25,424,True,1335.4977208550847,0.22027422312200398,9790.683534470996,23719.770818562876,False,False,False,0,False,True,False,1,True,True,True,3
3_29,SG_20170123.csv.gz,29,7.25,7.5,529,True,2387.908927768033,0.2543398577133099,53013.79014732529,100158.19539970349,False,False,False,0,False,False,False,0,True,True,True,3
3_30,SG_20170123.csv.gz,30,7.5,7.75,502,True,1761.3930607328589,0.2499941428084462,12024.694532031184,25589.656728628215,False,False,False,0,False,False,False,0,True,True,True,3
3_31,SG_20170123.csv.gz,31,7.75,8.0,605,True,2609.7320446425783,0.3009735591945842,51654.85697349638,106814.13442345282,False,True,False,1,False,False,False,0,True,True,True,3
3_32,SG_20170123.csv.gz,32,8.0,8.25,761,True,3457.637178261719,0.3945086729239708,64743.2779240374,128074.27224716819,False,False,False,0,False,False,False,0,True,True,True,3
3_33,SG_20170123.csv.gz,33,8.25,8.482635571388888,808,True,4477.223584640547,0.35785849192518576,54148.11001430316,106822.97122937621,False,True,False,1,False,True,False,1,True,True,True,3
4_0,SG_20170131.csv.gz,0,0.0,0.25,1007,True,4263.6042868942095,0.39318614420243925,4628.597683657014,8061.032534244907,True,True,True,3,False,True,False,1,True,True,True,3
4_1,SG_20170131.csv.gz,1,0.25,0.5,1171,True,4843.097526965937,0.5504003241713553,14292.455759066761,26594.086161101866,False,True,False,1,False,False,False,0,True,True,True,3
4_2,SG_20170131.csv.gz,2,0.5,0.75,925,True,4076.759063780638,0.4713908770254056,74788.49807807233,113926.78182107616,False,False,False,0,True,True,True,3,True,True,True,3
4_3,SG_20170131.csv.gz,3,0.75,1.0,678,True,3155.055255883521,0.29847944161283585,30464.937577780493,48771.7638132804,False,False,False,0,False,False,False,0,True,True,True,3
4_4,SG_20170131.csv.gz,4,1.0,1.25,515,True,2053.641625337179,0.2352998647163004,16863.19560587488,28535.034953158884,False,False,False,0,False,False,False,0,True,True,True,3
4_5,SG_20170131.csv.gz,5,1.25,1.5,987,True,4583.4696848531885,0.35067698444110057,4821.01830337965,8947.652271944782,False,True,False,1,True,True,False,2,True,True,True,3
4_6,SG_20170131.csv.gz,6,1.5,1.75,384,True,977.1401338097025,0.2238819384852635,16469.511856151308,30127.688449300003,False,False,False,0,False,False,False,0,True,True,True,3
4_7,SG_20170131.csv.gz,7,1.75,2.0,456,True,1718.946074955647,0.21578688012933026,16348.503190505722,29086.962530885303,True,True,True,3,False,True,False,1,True,True,True,3
